DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1991-S1,0.1425,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1991-S2,0.1363,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1992-S1,0.1453,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1992-S2,0.1397,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1993-S1,0.1485,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1993-S2,0.1519,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1994-S1,0.1540,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1994-S2,0.1566,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1995-S1,0.1587,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1995-S2,0.1614,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1996-S1,0.1518,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1996-S2,0.1500,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1997-S1,0.1472,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1997-S2,0.1450,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1998-S1,0.1455,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1998-S2,0.1469,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1999-S1,0.1503,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,1999-S2,0.1620,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2000-S1,0.1526,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2000-S2,0.1541,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2001-S1,0.1599,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2001-S2,0.1607,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2002-S1,0.1670,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2002-S2,0.1657,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2003-S1,0.1708,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2003-S2,0.1692,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2004-S1,0.1698,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2004-S2,0.1720,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2005-S1,0.1785,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2005-S2,0.1801,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2006-S1,0.1832,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2006-S2,0.1873,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,Germany,2007-S1,0.1949,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1991-S1,0.1249,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1991-S2,0.1329,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1992-S1,0.1369,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1992-S2,0.1363,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1993-S1,0.1337,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1993-S2,0.1354,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1994-S1,0.1369,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1994-S2,0.1370,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1995-S1,0.1353,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1995-S2,0.1334,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1996-S1,0.1340,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1996-S2,0.1326,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1997-S1,0.1340,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1997-S2,0.1337,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1998-S1,0.1331,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1998-S2,0.1322,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1999-S1,0.1296,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1999-S2,0.1321,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2000-S1,0.1322,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2000-S2,0.1332,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2001-S1,0.1317,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2001-S2,0.1325,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2002-S1,0.1336,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2002-S2,0.1329,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2003-S1,0.1355,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2003-S2,0.1350,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2004-S1,0.1358,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2004-S2,0.1357,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2005-S1,0.1382,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2005-S2,0.1391,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2006-S1,0.1440,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2006-S2,0.1484,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2007-S1,0.1581,,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Electrical energy,Households - Dc (annual consumption: 3 500 kWh of which night 1 300),Kilowatt-hour,All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2007-S2,0.1566,p,
