DATAFLOW,LAST UPDATE,freq,siec,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2007-S1,0.2025,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2007-S2,0.2105,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2008-S1,0.2148,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2008-S2,0.2195,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2009-S1,0.2282,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2009-S2,0.2294,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2010-S1,0.2375,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2010-S2,0.2438,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2011-S1,0.2528,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2011-S2,0.2531,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2012-S1,0.2595,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2012-S2,0.2676,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2013-S1,0.2919,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2013-S2,0.2921,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2014-S1,0.2981,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2014-S2,0.2974,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electricity,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2015-S1,0.2951,,
