Year,Mineral Oils,Gases,Electricity,District Heating,Coal,Renewable Energies,Other Energy Sources,All Energy Sources
1990,206,169,117,44,108,11,0,655
1991,242,197,122,46,71,11,0,690
1992,238,201,123,46,49,11,0,667
1993,263,227,126,46,45,11,0,717
1994,254,226,124,46,39,15,0,705
1995,262,245,127,47,29,27,0,737
1996,278,289,134,45,29,27,0,803
1997,294,266,131,39,19,44,0,793
1998,274,269,130,39,15,46,0,773
1999,232,264,131,36,14,47,0,726
2000,227,263,131,37,13,48,0,718
2001,259,285,134,37,14,54,0,784
2002,229,279,137,37,13,53,0,747
2003,225,290,139,43,8,59,0,764
2004,204,283,140,46,7,58,0,737
2005,201,274,141,43,7,58,0,724
2006,212,267,142,42,8,68,0,738
2007,128,248,140,43,6,72,0,638
2008,192,261,140,46,8,84,0,730
2009,166,258,139,49,8,77,0,696
2010,167,282,142,53,11,92,0,747
2011,140,235,137,46,10,87,0,653
2012,149,255,137,47,9,99,0,696
2013,162,268,136,51,8,103,0,729
2014,140,217,130,43,7,89,0,624
2015,138,239,129,47,8,90,0,652
2016,142,253,128,51,6,88,0,668
2017,140,247,131,52,6,91,0,667
2018,133,255,128,50,6,95,0,667
2019,160,257,127,53,4,96,0,696
2020,164,249,127,49,4,94,0,687
2021,120,288,138,59,4,105,0,714
2022,123,249,134,53,3,117,0,679
2023,119,226,131,52,3,101,0,632
2024,116,225,133,53,2,97,0,625
