DATAFLOW,LAST UPDATE,freq,quantile,indic_il,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,1995,6771,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,1996,7761,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,1997,8418,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,1998,8273,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,1999,8558,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2000,9111,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2001,9203,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2005,9170,b,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2006,8686,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2007,9000,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2008,9413,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2009,9541,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2010,9657,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2011,9612,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2012,9913,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2013,9977,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2014,9656,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2015,10260,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2016,10748,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2017,11215,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2018,11423,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2019,12174,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2020,12867,b,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2021,12535,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2022,13200,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2023,14000,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2024,14325,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,Germany,2025,14590,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2008,7485,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,7577,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,7552,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,7544,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,7805,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,7812,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,7830,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,8001,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,8183,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,8478,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,8764,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,First decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,8927,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,1995,9186,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,1996,9933,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,1997,10514,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,1998,10416,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,1999,10779,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2000,11295,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2001,11385,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2005,11562,b,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2006,11018,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2007,11888,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2008,12120,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2009,12412,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2010,12444,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2011,12543,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2012,12871,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2013,12837,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2014,12819,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2015,13355,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2016,13813,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2017,14422,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2018,14917,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2019,15612,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2020,16950,b,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2021,16234,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2022,16624,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2023,17585,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2024,18190,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,Germany,2025,18832,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2008,9470,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,9633,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,9648,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,9729,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,10035,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,10045,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,10162,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,10365,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,10634,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,10931,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,11369,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Second decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,11559,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,1995,10651,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,1996,11634,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,1997,11980,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,1998,11823,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,1999,12087,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2000,12647,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2001,13066,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2005,13313,b,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2006,12799,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2007,13900,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2008,14337,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2009,14573,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2010,14635,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2011,14759,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2012,15094,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2013,15227,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2014,15318,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2015,15910,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2016,16250,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2017,16927,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Third decile,Top cut-off point,Euro,Germany,2018,17540,,
