DATAFLOW,LAST UPDATE,freq,siec,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2007-S2,0.0613,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2008-S1,0.0641,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2008-S2,0.0762,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2009-S1,0.0648,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2009-S2,0.0589,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2010-S1,0.0565,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2010-S2,0.0571,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2011-S1,0.0588,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2011-S2,0.064,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2012-S1,0.0637,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2012-S2,0.0648,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2013-S1,0.0661,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2013-S2,0.0689,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2014-S1,0.0678,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2014-S2,0.0681,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2015-S1,0.0676,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2015-S2,0.0681,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2016-S1,0.0661,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2016-S2,0.0642,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2017-S1,0.0611,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2017-S2,0.0609,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2018-S1,0.0608,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2018-S2,0.0608,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2019-S1,0.0632,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2019-S2,0.0588,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2020-S1,0.0597,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2020-S2,0.0620,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2021-S1,0.0647,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2021-S2,0.0692,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2022-S1,0.0806,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2022-S2,0.0941,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2023-S1,0.1230,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2023-S2,0.1145,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2024-S1,0.1198,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2024-S2,0.1238,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,Germany,2025-S1,0.1216,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,European Union - 27 countries (from 2020),2007-S1,0.0672,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,European Union - 27 countries (from 2020),2007-S2,0.0565,,
ESTAT:NRG_PC_202(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Natural gas,Consumption from 20 GJ to 199 GJ - band D2,Kilowatt-hour,All taxes and levies included,Euro,European Union - 27 countries (from 2020),2008-S1,0.0582,,
